CMDLINE C:\Users\Robert\AppData\Local\Programs\Python\Python310\python.exe main.py
MEM 135.824219 1709670229.5658
MEM 135.824219 1709670229.6718
MEM 135.824219 1709670229.7718
MEM 135.824219 1709670229.8828
MEM 135.824219 1709670229.9838
MEM 135.824219 1709670230.0848
MEM 135.824219 1709670230.1851
MEM 135.824219 1709670230.2870
MEM 135.824219 1709670230.3872
MEM 135.824219 1709670230.4882
MEM 135.824219 1709670230.5883
MEM 135.824219 1709670230.6886
MEM 135.824219 1709670230.7895
MEM 135.824219 1709670230.8903
MEM 135.824219 1709670231.0003
MEM 135.824219 1709670231.1009
